 x,    y,    V
    0.40000E+00,    0.10000E+00,    0.87899E-02
    0.45000E+00,    0.10000E+00,    0.91401E-02
    0.50000E+00,    0.10000E+00,    0.92512E-02
    0.55000E+00,    0.10000E+00,    0.91401E-02
    0.60000E+00,    0.10000E+00,    0.87899E-02
    0.65000E+00,    0.10000E+00,    0.81713E-02
    0.70000E+00,    0.10000E+00,    0.72920E-02
    0.75000E+00,    0.10000E+00,    0.62537E-02
    0.80000E+00,    0.10000E+00,    0.52355E-02
    0.85000E+00,    0.10000E+00,    0.43822E-02
    0.90000E+00,    0.10000E+00,    0.36130E-02
    0.95000E+00,    0.10000E+00,    0.24554E-02
    0.10000E+01,    0.10000E+00,    0.00000E+00
    0.00000E+00,    0.15000E+00,    0.00000E+00
    0.50000E-01,    0.15000E+00,    0.15231E-02
    0.10000E+00,    0.15000E+00,    0.20081E-02
    0.15000E+00,    0.15000E+00,    0.25857E-02
    0.20000E+00,    0.15000E+00,    0.38202E-02
    0.25000E+00,    0.15000E+00,    0.55864E-02
    0.30000E+00,    0.15000E+00,    0.74108E-02
    0.35000E+00,    0.15000E+00,    0.88414E-02
    0.40000E+00,    0.15000E+00,    0.97550E-02
    0.45000E+00,    0.15000E+00,    0.10223E-01
    0.50000E+00,    0.15000E+00,    0.10365E-01
    0.55000E+00,    0.15000E+00,    0.10223E-01
    0.60000E+00,    0.15000E+00,    0.97550E-02
    0.65000E+00,    0.15000E+00,    0.88414E-02
    0.70000E+00,    0.15000E+00,    0.74108E-02
    0.75000E+00,    0.15000E+00,    0.55864E-02
    0.80000E+00,    0.15000E+00,    0.38202E-02
    0.85000E+00,    0.15000E+00,    0.25857E-02
    0.90000E+00,    0.15000E+00,    0.20081E-02
    0.95000E+00,    0.15000E+00,    0.15231E-02
    0.10000E+01,    0.15000E+00,    0.00000E+00
    0.00000E+00,    0.20000E+00,    0.00000E+00
    0.50000E-01,    0.20000E+00,    0.97707E-03
    0.10000E+00,    0.20000E+00,    0.24919E-02
    0.15000E+00,    0.20000E+00,    0.26789E-02
    0.20000E+00,    0.20000E+00,    0.91623E-03
