 X,Y,Hscat_real_z,Hscat_imag_z
    0.84884E+00,    0.21000E+00,    0.22807E+00,    0.99836E-02
    0.84065E+00,    0.26000E+00,   -0.87903E+00,   -0.15899E+00
    0.84071E+00,    0.25000E+00,    0.37090E+00,   -0.73333E+00
    0.84050E+00,    0.22000E+00,    0.21098E+00,    0.35600E-01
    0.83878E+00,    0.21000E+00,    0.24581E+00,    0.14806E-01
    0.83069E+00,    0.26000E+00,   -0.39244E+00,   -0.12462E+01
    0.83078E+00,    0.25000E+00,   -0.77133E+00,   -0.10628E+01
    0.83055E+00,    0.22000E+00,    0.21555E+00,   -0.18967E-01
    0.82871E+00,    0.21000E+00,    0.24512E+00,   -0.40065E-01
    0.82072E+00,    0.26000E+00,    0.73034E+00,   -0.81767E-01
    0.82084E+00,    0.25000E+00,   -0.58697E+00,    0.53157E+00
    0.82059E+00,    0.22000E+00,    0.23166E+00,   -0.80753E-02
    0.81864E+00,    0.21000E+00,    0.19100E+00,   -0.43764E-01
    0.81076E+00,    0.26000E+00,    0.43631E+00,    0.11996E+01
    0.81091E+00,    0.25000E+00,    0.59748E+00,    0.11329E+01
    0.81064E+00,    0.22000E+00,    0.19435E+00,    0.44427E-01
    0.80857E+00,    0.21000E+00,    0.15763E+00,    0.12945E-01
    0.80080E+00,    0.26000E+00,   -0.72924E+00,    0.24418E+00
    0.80097E+00,    0.25000E+00,    0.62296E+00,   -0.36257E+00
    0.80068E+00,    0.22000E+00,    0.14618E+00,    0.32738E-01
    0.79851E+00,    0.21000E+00,    0.18096E+00,    0.18790E-01
    0.79083E+00,    0.26000E+00,   -0.61424E+00,   -0.11939E+01
    0.79104E+00,    0.25000E+00,   -0.55244E+00,   -0.12150E+01
    0.79073E+00,    0.22000E+00,    0.15412E+00,   -0.21811E-01
    0.78844E+00,    0.21000E+00,    0.18567E+00,   -0.36086E-01
    0.78110E+00,    0.25000E+00,   -0.76593E+00,    0.13928E+00
    0.78087E+00,    0.26000E+00,    0.57811E+00,   -0.46884E+00
    0.78077E+00,    0.22000E+00,    0.17623E+00,   -0.12658E-01
    0.77837E+00,    0.21000E+00,    0.13537E+00,   -0.39952E-01
    0.77117E+00,    0.25000E+00,    0.38341E+00,    0.12070E+01
    0.77090E+00,    0.26000E+00,    0.65321E+00,    0.10809E+01
    0.77082E+00,    0.22000E+00,    0.14374E+00,    0.40050E-01
    0.76830E+00,    0.21000E+00,    0.10663E+00,    0.16238E-01
    0.76123E+00,    0.25000E+00,    0.78754E+00,    0.18296E-01
    0.76094E+00,    0.26000E+00,   -0.52424E+00,    0.59148E+00
    0.76086E+00,    0.22000E+00,    0.98469E-01,    0.29331E-01
    0.75823E+00,    0.21000E+00,    0.13497E+00,    0.20306E-01
    0.75130E+00,    0.25000E+00,   -0.29452E+00,   -0.12374E+01
    0.75098E+00,    0.26000E+00,   -0.76949E+00,   -0.10352E+01
    0.75091E+00,    0.22000E+00,    0.11014E+00,   -0.24659E-01
    0.74817E+00,    0.21000E+00,    0.14190E+00,   -0.34628E-01
    0.74136E+00,    0.25000E+00,   -0.86120E+00,   -0.24318E+00
    0.74101E+00,    0.26000E+00,    0.37966E+00,   -0.78970E+00
    0.74095E+00,    0.22000E+00,    0.13597E+00,   -0.14849E-01
    0.73810E+00,    0.21000E+00,    0.93412E-01,   -0.35958E-01
    0.73143E+00,    0.25000E+00,    0.14233E+00,    0.11585E+01
    0.73105E+00,    0.26000E+00,    0.79572E+00,    0.86996E+00
    0.73100E+00,    0.22000E+00,    0.10555E+00,    0.37457E-01
    0.72811E+00,    0.21000E+00,    0.69947E-01,    0.19594E-01
    0.72149E+00,    0.25000E+00,    0.86548E+00,    0.36685E+00
    0.72109E+00,    0.26000E+00,   -0.29199E+00,    0.85814E+00
    0.72105E+00,    0.22000E+00,    0.63223E-01,    0.25488E-01
    0.71826E+00,    0.21000E+00,    0.10228E+00,    0.20674E-01
    0.71156E+00,    0.25000E+00,   -0.28574E-01,   -0.11536E+01
    0.71121E+00,    0.26000E+00,   -0.85627E+00,   -0.79932E+00
    0.71109E+00,    0.22000E+00,    0.79007E-01,   -0.27902E-01
    0.70855E+00,    0.21000E+00,    0.11008E+00,   -0.33600E-01
    0.70162E+00,    0.25000E+00,   -0.87541E+00,   -0.59022E+00
    0.70146E+00,    0.26000E+00,    0.13037E+00,   -0.10551E+01
    0.70114E+00,    0.22000E+00,    0.10603E+00,   -0.16147E-01
    0.69898E+00,    0.21000E+00,    0.65439E-01,   -0.35659E-01
    0.69186E+00,    0.26000E+00,    0.87207E+00,    0.52391E+00
    0.69169E+00,    0.25000E+00,   -0.10213E+00,    0.10096E+01
    0.69118E+00,    0.22000E+00,    0.76831E-01,    0.36618E-01
    0.68956E+00,    0.21000E+00,    0.43281E-01,    0.18787E-01
    0.68238E+00,    0.26000E+00,    0.39009E-01,    0.10923E+01
    0.68175E+00,    0.25000E+00,    0.86361E+00,    0.64699E+00
    0.68123E+00,    0.22000E+00,    0.38440E-01,    0.24677E-01
    0.68027E+00,    0.21000E+00,    0.72473E-01,    0.27336E-01
    0.67304E+00,    0.26000E+00,   -0.87147E+00,   -0.34580E+00
    0.67182E+00,    0.25000E+00,    0.21882E+00,   -0.10109E+01
    0.67127E+00,    0.22000E+00,    0.54454E-01,   -0.30004E-01
    0.67113E+00,    0.21000E+00,    0.89453E-01,   -0.24666E-01
    0.66384E+00,    0.26000E+00,   -0.15735E+00,   -0.12106E+01
