        1088 	        1207 	        1208
         258 	         257 	         318
         901 	         900 	        1010
         965 	        1079 	         966
         973 	        1086 	        1087
         200 	         253 	         254
         881 	         882 	         779
         220 	         276 	         277
         372 	         443 	         444
         536 	         620 	         621
         385 	         384 	         457
         911 	         910 	        1021
         341 	         279 	         278
         672 	         768 	         673
         513 	         595 	         596
         450 	         527 	         528
         592 	         681 	         682
         988 	         987 	        1102
         468 	         548 	         469
         590 	         591 	         508
         117 	         116 	         157
         668 	         763 	         764
         424 	         500 	         425
         970 	         969 	        1083
         421 	         351 	         420
         575 	         662 	         663
         413 	         345 	         344
         663 	         759 	         664
         965 	         964 	        1078
         468 	         469 	         395
         177 	         228 	         229
         722 	         820 	         821
         395 	         394 	         468
         493 	         574 	         575
         474 	         553 	         554
         629 	         630 	         545
         713 	         621 	         712
        1019 	        1018 	        1134
         795 	         899 	         796
         804 	         908 	         805
        1136 	        1020 	        1019
         455 	         456 	         383
         616 	         615 	         707
         906 	         802 	         905
         255 	         315 	         316
         531 	         614 	         615
         453 	         452 	         530
         382 	         455 	         383
        1021 	        1137 	        1138
         459 	         538 	         460
         206 	         158 	         157
         107 	         106 	         145
          99 	         137 	         100
          14 	          13 	          29
         319 	         386 	         320
         470 	         469 	         549
          53 	          81 	          82
         263 	         262 	         323
         610 	         700 	         701
        1007 	        1006 	        1122
        1122 	        1243 	        1244
         900 	        1009 	        1010
         909 	        1018 	        1019
         194 	         247 	         248
         526 	         525 	         609
         994 	         995 	         886
         895 	        1005 	         896
         997 	         998 	         889
          76 	         110 	          77
         246 	         305 	         306
          22 	           9 	           8
        1223 	        1103 	        1102
         591 	         680 	         681
        1222 	        1102 	        1101
        1103 	         989 	         988
         784 	         688 	         687
         365 	         436 	         366
        1095 	         981 	        1094
         674 	         675 	         586
         678 	         677 	         774
         866 	         867 	         765
         577 	         576 	         664
         354 	         355 	         291
         974 	        1087 	        1088
         762 	         666 	         761
         664 	         665 	         577
         679 	         775 	         776
         237 	         236 	         294
         360 	         431 	         361
         424 	         425 	         355
          99 	          98 	         136
         301 	         366 	         302
         231 	         232 	         180
         678 	         589 	         677
         178 	         177 	         229
         500 	         581 	         582
          66 	          98 	          67
          33 	          34 	          16
         130 	         131 	          94
         494 	         576 	         495
         667 	         579 	         666
         862 	         760 	         861
         861 	         968 	         969
         976 	         868 	         975
        1194 	        1076 	        1075
        1091 	        1211 	        1092
         756 	         857 	         858
         968 	         967 	        1081
         857 	         755 	         856
         571 	         490 	         570
         855 	         754 	         854
        1072 	        1071 	        1190
         963 	         856 	         962
         571 	         659 	         572
        1073 	        1072 	        1191
         754 	         659 	         753
         574 	         662 	         575
         751 	         750 	         851
         639 	         554 	         553
        1071 	        1070 	        1189
         749 	         750 	         655
         745 	         846 	         746
         225 	         281 	         282
         744 	         845 	         745
         221 	         278 	         222
         945 	        1058 	         946
         564 	         650 	         651
        1059 	        1058 	        1177
         725 	         726 	         633
           2 	           5 	          16
         159 	         158 	         207
          37 	          19 	          18
          62 	          63 	          38
         222 	         172 	         171
         473 	         400 	         399
         481 	         561 	         562
          88 	         124 	          89
         921 	         816 	         920
        1159 	        1042 	        1041
        1036 	         925 	        1035
         807 	         912 	         808
         266 	         211 	         210
         633 	         548 	         547
         727 	         634 	         633
         927 	        1039 	         928
         337 	         275 	         274
         218 	         219 	         168
        1043 	         932 	         931
        1035 	         925 	         924
         833 	         938 	         939
         927 	         928 	         822
         943 	         837 	         942
        1133 	        1018 	        1017
         908 	        1017 	        1018
        1016 	        1132 	        1017
        1256 	        1135 	        1134
         909 	         805 	         908
         702 	         799 	         800
        1016 	        1017 	         907
         804 	         907 	         908
         906 	        1016 	         907
         614 	         705 	         706
         800 	         799 	         903
         909 	         908 	        1018
         907 	        1017 	         908
         382 	         316 	         315
         703 	         702 	         800
         531 	         453 	         530
         703 	         612 	         702
         530 	         452 	         529
         117 	         157 	         158
         618 	         534 	         533
