  ON_BOUNDARIES, UNKNOWN
 1  2  1 3  1	
 2  2  3 8  1	
 3  2  5 1  1	
 4  2  8 17  1	
 5  2  9 5  1	
 6  2  17 30  1	
 7  2  18 9  1	
 8  2  30 46  1	
 9  2  31 18  1	
 10  2  46 65  1	
 11  2  47 31  1	
 12  2  65 82  1	
 13  2  66 47  1	
 14  2  82 105  1	
 15  2  86 66  1	
 16  2  105 131  1	
 17  2  107 86  1	
 18  2  131 164  1	
 19  2  132 107  1	
 20  2  164 208  1	
 21  2  165 132  1	
 22  2  176 177  2	
 23  2  177 183  2	
 24  2  182 176  2	
 25  2  183 188  2	
 26  2  187 182  2	
 27  2  188 193  2	
 28  2  192 187  2	
 29  2  193 202  2	
 30  2  200 192  2	
 31  2  202 214  2	
 32  2  208 268  1	
 33  2  211 165  1	
 34  2  212 200  2	
 35  2  214 223  2	
 36  2  221 212  2	
 37  2  223 245  2	
 38  2  244 221  2	
 39  2  245 266  2	
 40  2  263 244  2	
 41  2  266 288  2	
 42  2  268 339  1	
 43  2  269 211  1	
 44  2  286 263  2	
 45  2  288 316  2	
 46  2  313 286  2	
 47  2  316 347  2	
 48  2  339 415  1	
 49  2  342 269  1	
 50  2  346 313  2	
 51  2  347 381  2	
 52  2  376 346  2	
 53  2  381 417  2	
 54  2  412 376  2	
 55  2  415 501  1	
 56  2  417 456  2	
 57  2  420 342  1	
 58  2  452 412  2	
 59  2  456 497  2	
 60  2  493 452  2	
 61  2  497 548  2	
 62  2  501 591  1	
 63  2  510 420  1	
 64  2  541 493  2	
 65  2  548 596  2	
 66  2  591 682  1	
 67  2  592 541  2	
 68  2  596 645  2	
 69  2  600 510  1	
 70  2  641 592  2	
 71  2  645 696  2	
 72  2  682 783  1	
 73  2  688 600  1	
 74  2  693 641  2	
 75  2  696 751  2	
 76  2  746 693  2	
 77  2  751 812  2	
 78  2  783 883  1	
 79  2  792 688  1	
 80  2  807 746  2	
 81  2  812 870  2	
 82  2  869 807  2	
 83  2  870 935  2	
 84  2  883 989  1	
 85  2  893 792  1	
 86  2  930 869  2	
 87  2  935 998  2	
 88  2  989 1101  1	
 89  2  992 930  2	
 90  2  998 1068  2	
 91  2  1000 893  1	
 92  2  1062 992  2	
 93  2  1068 1142  2	
 94  2  1101 1215  1	
 95  2  1113 1000  1	
 96  2  1138 1062  2	
 97  2  1142 1209  2	
 98  2  1208 1138  2	
 99  2  1209 1281  2	
 100  2  1215 1332  1	
 101  2  1227 1113  1	
 102  2  1280 1208  2	
 103  2  1281 1357  2	
 104  2  1332 1449  1	
 105  2  1344 1227  1	
 106  2  1356 1280  2	
 107  2  1357 1428  2	
 108  2  1427 1356  2	
 109  2  1428 1507  2	
 110  2  1449 1567  1	
 111  2  1461 1344  1	
 112  2  1505 1427  2	
 113  2  1507 1584  2	
 114  2  1567 1687  1	
 115  2  1578 1461  1	
 116  2  1582 1505  2	
 117  2  1584 1662  2	
 118  2  1658 1582  2	
 119  2  1662 1743  2	
 120  2  1687 1809  1	
 121  2  1699 1578  1	
 122  2  1741 1658  2	
 123  2  1743 1825  2	
 124  2  1809 1928  1	
 125  2  1820 1741  2	
 126  2  1821 1699  1	
 127  2  1825 1904  2	
 128  2  1901 1820  2	
 129  2  1904 1989  2	
 130  2  1928 2051  1	
 131  2  1949 1821  1	
 132  2  1985 1901  2	
 133  2  1989 2071  2	
 134  2  2051 2172  1	
