  ON_BOUNDARIES, UNKNOWN
 1  2  1 5  1	
 2  2  4 1  1	
 3  2  5 11  1	
 4  2  11 21  1	
 5  2  12 4  1	
 6  2  21 34  1	
 7  2  22 12  1	
 8  2  34 55  1	
 9  2  35 22  1	
 10  2  55 76  1	
 11  2  56 35  1	
 12  2  76 100  1	
 13  2  77 56  1	
 14  2  100 122  1	
 15  2  101 77  1	
 16  2  122 153  1	
 17  2  123 101  1	
 18  2  153 184  1	
 19  2  154 123  1	
 20  2  184 222  1	
 21  2  185 154  1	
 22  2  222 256  1	
 23  2  223 185  1	
 24  2  256 298  1	
 25  2  257 223  1	
 26  2  297 257  1	
 27  2  298 341  1	
 28  2  340 297  1	
 29  2  341 385  1	
 30  2  384 340  1	
 31  2  385 431  1	
 32  2  430 384  1	
 33  2  431 479  1	
 34  2  478 430  1	
 35  2  479 529  1	
 36  2  528 478  1	
 37  2  529 588  1	
 38  2  588 655  1	
 39  2  589 528  1	
 40  2  655 759  1	
 41  2  656 589  1	
 42  2  670 672  2	
 43  2  671 670  2	
 44  2  672 677  2	
 45  2  675 671  2	
 46  2  677 686  2	
 47  2  680 675  2	
 48  2  686 689  2	
 49  2  688 680  2	
 50  2  689 696  2	
 51  2  692 688  2	
 52  2  696 704  2	
 53  2  698 692  2	
 54  2  704 717  2	
 55  2  708 698  2	
 56  2  717 729  2	
 57  2  723 708  2	
 58  2  729 745  2	
 59  2  739 723  2	
 60  2  745 766  2	
 61  2  751 739  2	
 62  2  759 889  1	
 63  2  760 656  1	
 64  2  766 789  2	
 65  2  772 751  2	
 66  2  789 808  2	
 67  2  794 772  2	
 68  2  808 835  2	
 69  2  819 794  2	
 70  2  835 863  2	
 71  2  848 819  2	
 72  2  863 893  2	
 73  2  874 848  2	
 74  2  889 1042  1	
 75  2  890 760  1	
 76  2  893 932  2	
 77  2  908 874  2	
 78  2  932 967  2	
 79  2  944 908  2	
 80  2  967 1003  2	
 81  2  981 944  2	
 82  2  1003 1050  2	
 83  2  1023 981  2	
 84  2  1042 1212  1	
 85  2  1043 890  1	
 86  2  1050 1094  2	
 87  2  1066 1023  2	
 88  2  1094 1144  2	
 89  2  1116 1066  2	
 90  2  1144 1197  2	
 91  2  1164 1116  2	
 92  2  1197 1253  2	
 93  2  1212 1401  1	
 94  2  1213 1043  1	
 95  2  1226 1164  2	
 96  2  1253 1310  2	
 97  2  1276 1226  2	
 98  2  1310 1375  2	
 99  2  1340 1276  2	
 100  2  1375 1437  2	
 101  2  1401 1593  1	
 102  2  1402 1213  1	
 103  2  1403 1340  2	
 104  2  1437 1504  2	
 105  2  1469 1403  2	
 106  2  1504 1570  2	
 107  2  1534 1469  2	
 108  2  1570 1647  2	
 109  2  1593 1795  1	
 110  2  1594 1402  1	
 111  2  1604 1534  2	
 112  2  1647 1722  2	
 113  2  1675 1604  2	
 114  2  1722 1797  2	
 115  2  1749 1675  2	
 116  2  1795 2005  1	
 117  2  1796 1594  1	
 118  2  1797 1874  2	
 119  2  1831 1749  2	
 120  2  1874 1958  2	
 121  2  1909 1831  2	
 122  2  1958 2050  2	
 123  2  1989 1909  2	
 124  2  2004 1796  1	
 125  2  2005 2244  1	
 126  2  2050 2139  2	
 127  2  2084 1989  2	
 128  2  2139 2232  2	
 129  2  2175 2084  2	
 130  2  2232 2330  2	
 131  2  2243 2004  1	
 132  2  2244 2491  1	
 133  2  2276 2175  2	
 134  2  2330 2427  2	
 135  2  2372 2276  2	
 136  2  2427 2532  2	
 137  2  2469 2372  2	
 138  2  2490 2243  1	
 139  2  2491 2745  1	
 140  2  2532 2637  2	
 141  2  2578 2469  2	
 142  2  2637 2742  2	
 143  2  2679 2578  2	
 144  2  2742 2850  2	
 145  2  2744 2490  1	
 146  2  2745 2995  1	
 147  2  2787 2679  2	
 148  2  2850 2956  2	
 149  2  2895 2787  2	
 150  2  2956 3068  2	
 151  2  2994 2744  1	
 152  2  2995 3262  1	
 153  2  3004 2895  2	
 154  2  3068 3179  2	
 155  2  3115 3004  2	
 156  2  3179 3298  2	
 157  2  3229 3115  2	
 158  2  3261 2994  1	
 159  2  3262 3540  1	
 160  2  3298 3420  2	
 161  2  3345 3229  2	
 162  2  3420 3538  2	
 163  2  3468 3345  2	
 164  2  3538 3662  2	
 165  2  3539 3261  1	
 166  2  3540 3820  1	
 167  2  3586 3468  2	
 168  2  3662 3787  2	
 169  2  3715 3586  2	
 170  2  3787 3908  2	
 171  2  3819 3539  1	
 172  2  3820 4107  1	
 173  2  3837 3715  2	
 174  2  3908 4039  2	
 175  2  3960 3837  2	
 176  2  4039 4162  2	
 177  2  4087 3960  2	
 178  2  4106 3819  1	
 179  2  4107 4399  1	
 180  2  4162 4291  2	
 181  2  4224 4087  2	
 182  2  4291 4421  2	
 183  2  4353 4224  2	
 184  2  4398 4106  1	
 185  2  4399 4682  1	
 186  2  4421 4547  2	
 187  2  4476 4353  2	
 188  2  4547 4679  2	
 189  2  4605 4476  2	
 190  2  4679 4806  2	
 191  2  4681 4398  1	
 192  2  4682 4966  1	
 193  2  4736 4605  2	
 194  2  4806 4935  2	
 195  2  4865 4736  2	
 196  2  4935 5064  2	
 197  2  4965 4681  1	
 198  2  4966 5264  1	
 199  2  4988 4865  2	
 200  2  5064 5194  2	
 201  2  5120 4988  2	
 202  2  5194 5331  2	
 203  2  5254 5120  2	
 204  2  5263 4965  1	
 205  2  5264 5557  1	
 206  2  5331 5459  2	
 207  2  5387 5254  2	
 208  2  5459 5597  2	
 209  2  5512 5387  2	
 210  2  5556 5263  1	
 211  2  5557 5863  1	
 212  2  5597 5736  2	
 213  2  5655 5512  2	
 214  2  5736 5873  2	
 215  2  5793 5655  2	
 216  2  5862 5556  1	
 217  2  5863 6168  1	
 218  2  5873 6006  2	
 219  2  5930 5793  2	
 220  2  6006 6138  2	
 221  2  6060 5930  2	
 222  2  6138 6277  2	
 223  2  6167 5862  1	
 224  2  6168 6468  1	
 225  2  6200 6060  2	
 226  2  6277 6402  2	
 227  2  6329 6200  2	
 228  2  6402 6546  2	
 229  2  6463 6329  2	
 230  2  6467 6167  1	
 231  2  6468 6775  1	
 232  2  6546 6672  2	
 233  2  6595 6463  2	
 234  2  6672 6807  2	
 235  2  6727 6595  2	
 236  2  6774 6467  1	
 237  2  6775 7063  1	
 238  2  6807 6938  2	
 239  2  6870 6727  2	
 240  2  6938 7064  2	
 241  2  6991 6870  2	
 242  2  7062 6774  1	
 243  2  7063 7358  1	
 244  2  7064 7200  2	
 245  2  7124 6991  2	
 246  2  7200 7322  2	
 247  2  7250 7124  2	
 248  2  7322 7453  2	
 249  2  7357 7062  1	
 250  2  7358 7660  1	
 251  2  7384 7250  2	
 252  2  7453 7580  2	
 253  2  7506 7384  2	
 254  2  7580 7710  2	
 255  2  7634 7506  2	
 256  2  7659 7357  1	
 257  2  7660 7950  1	
 258  2  7710 7827  2	
 259  2  7757 7634  2	
 260  2  7827 7959  2	
 261  2  7881 7757  2	
 262  2  7949 7659  1	
 263  2  7950 8241  1	
 264  2  7959 8067  2	
 265  2  8001 7881  2	
 266  2  8067 8198  2	
 267  2  8120 8001  2	
 268  2  8198 8314  2	
 269  2  8240 7949  1	
 270  2  8241 8531  1	
 271  2  8252 8120  2	
 272  2  8314 8430  2	
 273  2  8362 8252  2	
 274  2  8430 8558  2	
 275  2  8483 8362  2	
 276  2  8530 8240  1	
 277  2  8531 8812  1	
 278  2  8558 8670  2	
 279  2  8606 8483  2	
 280  2  8670 8783  2	
 281  2  8713 8606  2	
 282  2  8783 8901  2	
 283  2  8811 8530  1	
 284  2  8812 9086  1	
 285  2  8836 8713  2	
 286  2  8901 9006  2	
 287  2  8942 8836  2	
 288  2  9006 9116  2	
 289  2  9052 8942  2	
 290  2  9085 8811  1	
 291  2  9086 9356  1	
 292  2  9116 9229  2	
 293  2  9158 9052  2	
 294  2  9229 9331  2	
 295  2  9266 9158  2	
 296  2  9331 9429  2	
 297  2  9355 9085  1	
 298  2  9356 9617  1	
 299  2  9374 9266  2	
 300  2  9429 9534  2	
 301  2  9466 9374  2	
 302  2  9534 9634  2	
 303  2  9576 9466  2	
 304  2  9616 9355  1	
